Rank,Player,Club ( s ),Years,Tries
1,Vincent Clerc,"Grenoble , Toulouse , Toulon",2002-2018,101
2,Laurent Arbo,"Pau , Castres , Montpellier , Perpignan",1991-2007,100
3,Aurélien Rougerie,Clermont,1999-2018,96
4,Napolioni Nalaga,"Clermont , Lyon",2006-2017,87
5,Maxime Medard,Toulouse,2004-,81
6,Timoci Nagusa,Montpellier,2010-,78
7,Julien Arias,"Colomiers , Stade Français",2001-,76
8,Cédric Heymans,Toulouse,2001-2013,65
9,Marc Andreu,"Castres , Racing 92 , La Rochelle",2005-,60
10,Julien Candelon,"Narbonne , Perpignan",2003-2012,58
