Site,Location,UNESCO data,Description,Shared with
Plitvice Lakes National Park,Plitvička Jezera,"98 ; 1979 ; vii , viii , ix ( natural )","Over time , water has flown over the natural limestone and chalk , creating natural dams which in turn have created a series of connecting lakes , waterfalls and caves . The nearby forests are home to bears , wolves and many rare bird species",N/A
Historical Complex of Split with the Palace of Diocletian,Split,"97 ; 1979 ; ii , iii , iv ( cultural )","The palace was built by the Roman emperor Diocletian at the turn of the fourth century AD , and later served as the basis of the city of Split . A cathedral was built in the Middle Ages inside the ancient mausoleum , along with churches , fortifications , Gothic and Renaissance palaces . The Baroque style makes up the rest of the area",N/A
Old City of Dubrovnik,Dubrovnik,"95 ; 1979 ; i , iii , iv ( cultural )","Dubrovnik became a prosperous Maritime Republic during the Middle Ages , it became the only eastern Adriatic city-state to rival Venice . Supported by its wealth and skilled diplomacy , the city achieved a remarkable level of development , particularly during the 15th and 16th centuries",N/A
Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Poreč,Poreč,"809 ; 1997 ; ii , iv ( cultural )","The episcopal complex , with its striking mosaics dating back to the 6th century , is one of the best examples of early Byzantine art and architecture in the Mediterranean region and the world . It includes the basilica itself , a sacristy , a baptistery and the bell tower of the nearby archbishop 's palace",N/A
Historic city of Trogir,Trogir,"810 ; 1997 ; ii , iv ( cultural )","Trogir 's rich culture was created under the influence of old Greeks , Romans , and Venetians . It is the best-preserved Romanesque- Gothic complex not only in the Adriatic , but in all of Central Europe . Trogir 's medieval core , surrounded by walls , comprises a preserved castle and tower and a series of dwellings and palaces from the Romanesque , Gothic , Renaissance and Baroque periods",N/A
Cathedral of Saint James,Šibenik,"963 ; 2000 ; i , ii , iv ( cultural )",The cathedral is a triple-nave basilica with three apses and a dome ( 32 m high inside ) and is also one of the most important Renaissance architectural monuments in the eastern Adriatic,N/A
Stari Grad Plain,Hvar,"1240 ; 2008 ; ii , iii , v ( cultural","The Stari Grad Plain is an agricultural landscape that was set up by the ancient Greek colonists in the 4th century BC , and remains in use today . The plain is generally still in its original form . The ancient layout has been preserved by careful maintenance of the stone walls over 24 centuries",N/A
Stećci Medieval Tombstones Graveyards,"Dubravka , Cista Velika","1504 ; 2016 ; iii , vi ( cultural )","Stećak or the medieval tombstones are the monolith stone monuments found in the regions of the present Bosnia and Herzegovina , parts of Croatia , Serbia and Montenegro . The elementary tombstone groups are the laid and the upright stone monoliths","Bosnia and Herzegovina , Montenegro , Serbia"
The Venetian Works of defence between 15th and 17th centuries,"Zadar , Šibenik","1533 ; 2017 ; iii , iv ( cultural )","This property consists of 15 components of defence works in Italy , Croatia and Montenegro , spanning more than 1,000 kilometres between the Lombard region of Italy and the eastern Adriatic Coast . The introduction of gunpowder led to significant shifts in military techniques and architecture","Italy , Montenegro"
Primeval Beech Forests of the Carpathians and Other Regions of Europe,"Paklenica , Northern Velebit National Park",1133 ; 2017 ; ix ( natural ),"This transboundary extension of the World Heritage site of the Primeval Beech Forests of the Carpathians and the Ancient Beech Forests of Germany ( Germany , Slovakia , Ukraine ) stretches over 12 countries . This successful expansion is related to the tree 's flexibility and tolerance of different climatic , geographical and physical conditions","Albania , Austria , Belgium , Bulgaria , Germany , Italy , Romania , Slovakia , Slovenia , Spain , Ukraine"
