#,Song,Artist,Country of Origin
1,Take Me Out,Franz Ferdinand,United Kingdom
2,Scar,Missy Higgins,Australia
3,From the Sea,Eskimo Joe,Australia
4,Somebody Told Me,The Killers,United States
5,Black Betty,Spiderbait,Australia
6,Ten Days,Missy Higgins,Australia
7,Something 's Got ta Give,John Butler Trio,Australia
8,Beautiful to Me,Little Birdy,Australia
9,Bless My Soul,Powderfinger,Australia
10,Jolene ( Live ),The White Stripes,United States
11,Float On,Modest Mouse,United States
12,Coin-Operated Boy,The Dresden Dolls,United States
13,Mr. Brightside,The Killers,United States
14,It 's Too Late,Evermore,New Zealand
15,Gamble Everything for Love,Ben Lee,Australia
16,Hard Act to Follow,Grinspoon,Australia
17,Yo Mama,Butterfingers,Australia
18,Fit But You Know It,The Streets,United Kingdom
19,Dry Your Eyes,The Streets,United Kingdom
20,Fucken Awesome,Spiderbait,Australia
