Medal,Name,Sport,Event
Gold,Nasuh Akar,Wrestling,Men 's Freestyle 52 - 57 kg ( bantamweight )
Gold,Gazanfer Bilge,Wrestling,Men 's Freestyle 57 - 63 kg ( featherweight )
Gold,Celal Atik,Wrestling,Men 's Freestyle 63 - 67 kg ( lightweight )
Gold,Yasar Dogu,Wrestling,Men 's Freestyle 67 - 73 kg ( welterweight )
Gold,Ahmet Kireççi,Wrestling,Men 's Greco-Roman + 87 kg ( super heavyweight )
Gold,Mehmet Oktav,Wrestling,Men 's Greco-Roman 57 - 61 kg ( featherweight )
Silver,Halit Balamir,Wrestling,Men 's Freestyle - 52 kg ( flyweight )
Silver,Adil Candemir,Wrestling,Men 's Freestyle 73 - 79 kg ( middleweight )
Silver,Kenan Olcay,Wrestling,Men 's Greco-Roman - 52 kg ( flyweight )
Silver,Muhlis Tayfur,Wrestling,Men 's Greco-Roman 73 - 79 kg ( middleweight )
Bronze,Halil Kaya,Wrestling,Men 's Greco-Roman 52 - 57 kg ( bantamweight )
Bronze,Ruhi Sarıalp,Athletics,Men 's Triple Jump
