Year,Song,Singer/Band,Role
1989,Express Yourself,Madonna,Production Designer
1989,Janet Jackson 's Rhythm Nation 1814,Janet Jackson,Production Designer
1993,Livin ' on the Edge,Aerosmith,Production Designer
1995,Runaway,Janet Jackson,Production Designer
1997,Spice Up Your Life,Spice Girls,Production Designer
1998,Victory,Puff Daddy,Production Designer
2001,Crawling,Linkin Park,Production Designer
2001,It 's Been Awhile,Staind,Production Designer
2002,Do n't Stop ( Funkin ' 4 Jamaica ),Mariah Carey,Production Designer
2002,I Stand Alone,Godsmack,Production Designer
2005,Only,Nine Inch Nails,Production Designer
2005,Shake It Off,Mariah Carey,Production Designer
2007,Stronger,Kanye West,Production Designer
2007,Ca n't Tell Me Nothing,Kanye West,Production Designer
