Venue,Sports,Capacity
L'anneau de vitesse,Speed skating,"10,000"
La halle de glace Olympique,"Figure skating , Short track speed skating","9,000"
La Plagne,"Bobsleigh , Luge",Not listed
Les Arcs,Speed skiing ( demonstration ),Not listed
Les Menuires,Alpine skiing ( men 's slalom ),Not listed
Les Saisies,"Biathlon , Cross-country skiing","12,500"
Méribel,Alpine skiing ( women ),"3,000"
Méribel Ice Palace,Ice hockey,"6,420"
Patinoire olympique de Pralognan-la-Vanoise,Curling ( demonstration ),"2,300"
Théâtre des Cérémonies,Ceremonies ( opening/ closing ),"35,000"
Tignes,Freestyle skiing,Not listed
Tremplin du Praz,"Nordic combined , Ski jumping","20,000 ( jumping ) 15,000 ( Nordic combined - cross-country skiing )"
Val-d'Isère,"Alpine skiing ( men 's downhill , super-giant slalom , giant slalom , and combined )",Not listed
