,Members,Group,State,Votes
1,Mairead McGuinness,EPP,Ireland,"618 , Round 1"
2,Pedro Silva Pereira,S & D,Portugal,"556 , Round 1"
3,Rainer Wieland,EPP,Germany,"516 , Round 1"
4,Katarina Barley,S & D,Germany,"516 , Round 1"
5,Othmar Karas,EPP,Austria,"477 , Round 1"
6,Ewa Kopacz,EPP,Poland,"461 , Round 1"
7,Klára Dobrev,S & D,Hungary,"402 , Round 1"
8,Dita Charanzová,RE,Czech Republic,"395 , Round 1"
9,Nicola Beer,RE,Germany,"363 , Round 1"
10,Lívia Járóka,EPP,Hungary,"349 , Round 1"
11,Heidi Hautala,Greens/EFA,Finland,"336 , Round 1"
12,Marcel Kolaja,Greens/EFA,Czech Republic,"426 , Round 2"
13,Dimitrios Papadimoulis,GUE/NGL,Greece,"401 , Round 2"
14,Fabio Massimo Castaldo,NI,Italy,"285 , Round 3"
