Player,Position,Nationality,Team,League
Dave Amadio,D,Canada,Salt Lake Golden Eagles,WHL
Leigh Bannister,C,Canada,Flint Generals,IHL
Dave Bonter,LW,Canada,Dayton Gems,IHL
Bill Hay,C,Canada,Retired,
Rob Heaney,D,Canada,Dayton Gems,IHL
Herb Howdle,D,Canada,Oklahoma City Blazers,CHL
Aleksander Maltsev,C,Soviet Union,HC Dynamo Moscow,USSR
Darwin Mott,LW,Canada,Michigan Tech,NCAA
Vladimir Petrov,C,Soviet Union,HC CSKA Moscow,USSR
Morris Stefaniw,C,Canada,Providence Reds,AHL
Garry Swain,C,Canada,Fort Wayne Komets,IHL
