#,Title,Studio,Star ( s ),Year,Director ( s )
1,Hatch Up Your Troubles,MGM,Tom and Jerry,1949,William Hanna Joseph Barbera
2,Jerry 's Cousin,MGM,Tom and Jerry,1951,William Hanna Joseph Barbera
3,Little Johnny Jet,MGM,,1953,Tex Avery
4,"Touché , Pussy Cat !",MGM,"Tom and Jerry , Tuffy",1954,William Hanna Joseph Barbera
5,From A to Z-Z-Z-Z,Warner Bros,Ralph Phillips,1954,Chuck Jones
6,Sandy Claws,Warner Bros,"Sylvester , Tweety , Granny",1955,Friz Freleng
7,Good Will to Men,MGM,,1955,William Hanna Joseph Barbera
8,Tabasco Road,Warner Bros,Speedy Gonzales,1957,Robert McKimson
9,One Droopy Knight,MGM,"Droopy , Butch Bulldog",1957,Michael Lah
10,High Note,Warner Bros,,1960,Chuck Jones
11,Nelly 's Folly,Warner Bros,,1961,Chuck Jones Maurice Noble ( co-director ) Abe Levitow ( co-director )
12,Now Hear This,Warner Bros,,1963,Chuck Jones Maurice Noble ( co-director )
