Season,Premier Division,Division One,Reserves Division,Reserves & Colts Division
2008-09,Llangollen Town,FC Cefn,Bala Town,Castell AC
2009-10,Rhos Aelwyd,Garden Village,Airbus UK,Ruthin Town
2010-11,Penycae,Penyffordd,Rhos Aelwyd,Airbus UK
2011-12,FC Cefn,Saltney Town,Chirk AAA,Mold Alex
2012-13,Chirk AAA,Borras Park Albion,Ruthin Town,Buckley Town
2013-14,Mold Alexandra,FC Nomads of Connah 's Quay,Penycae,FC Nomads of Connah 's Quay
2014-15,Gresford Athletic,FC Queens Park,Cefn Druids,Mold Alex
2015-16,FC Nomads of Connah 's Quay,Cefn Albion,Mold Alex,Saltney Town
2016-17,FC Queens Park,Lex Glyndwr,Cefn Druids,Flint Town United
2017-18,Buckley Town,Brymbo,Ruthin Town,Brickfield Rangers
2018-19,Corwen,Plas Madoc,Cefn Druids,Holywell Town FC
2019-20,Holywell Town,Hawarden Rangers,Mold Alexandra,Connah 's Quay Nomads
