Rank,City 1,City 2,Flights from Mar . 2018 to Feb. 2019,Top carriers
1,Jeju,Seoul-Gimpo,"79,460","Air Busan , Air Seoul , Asiana Airlines , Eastar Jet , Jeju Air , Jin Air , Korean Air , T'way Air"
2,Melbourne,Sydney,"54,102","Jetstar Airways , Qantas , Virgin Australia , Tigerair Australia"
3,Delhi,Mumbai,"45,188","Air India , GoAir , IndiGo , Jet Airways , SpiceJet , Vistara"
4,Rio de Janeiro,São Paulo,"39,747","Gol Transportes Aéreos , LATAM Airlines Brasil , Azul Linhas Aéreas"
5,Fukuoka,Tokyo-Haneda,"39,406","All Nippon Airways , Japan Airlines , Skymark Airlines"
6,Hanoi,Saigon,"39,291","Vietnam Airlines , Jetstar Pacific , Vietjet Air"
7,Sapporo,Tokyo-Haneda,"39,271","All Nippon Airways , Japan Airlines , Skymark Airlines"
8,Jakarta,Surabaya,"37,762","Garuda Indonesia , Citilink , Lion Air , Batik Air"
9,Los Angeles,San Francisco,"35,365","American Airlines , Delta Air Lines , Southwest Airlines , United Airlines , Alaska Airlines"
10,Jeddah,Riyadh,"35,149","Saudia , Flynas"
11,Cape Town,Johannesburg,"33,708","Comair , Mango , South African Airways , Safair"
12,Brisbane,Sydney,"33,443","Jetstar Airways , Qantas , Virgin Australia , Tigerair Australia"
13,Cusco,Lima,"27,092","Avianca , LATAM Perú , Peruvian Airlines"
14,Jakarta,Denpasar,"31,958","Batik Air , Citilink , Garuda Indonesia , Lion Air , Sriwijaya Air"
15,Bogotá,Medellin,"31,279","Avianca , LATAM Airlines , VivaAir"
16,Shanghai-Hongqiao,Shenzhen,"29,401","Spring Airlines , China Southern Airlines , Xianmen Airlines , China Eastern Airlines , Shenzhen Airlines"
17,Beijing,Shanghai-Hongqiao,"29,233","Air China , China Eastern Airlines , China Southern Airlines , Hainan Airlines , Xiamen Airlines"
18,Jakarta,Makassar,"28,903","Garuda Indonesia , Citilink , Lion Air , Batik Air"
19,New Delhi,Bangalore,"28,716","AirAsia India , Air India , GoAir , IndiGo , Jet Airways , SpiceJet , Vistara"
20,Los Angeles,New York-JFK,"26,286","American Airlines , Delta Air Lines , JetBlue Airways , Alaska Airlines"
