Time,Swimmer,Date,Place
52.71,Mark Tewksbury,"March 16 , 1991","Bonn , Germany"
52.58,Mark Tewksbury,"March 29 , 1991","Sheffield , Great Britain"
52.52,Mark Tewksbury,"February 20 , 1992","Winnipeg , Canada"
52.50,Mark Tewksbury,"February 22 , 1992","Winnipeg , Canada"
51.43,Jeff Rouse,"April 12 , 1993","Sheffield , Great Britain"
51.28,Lenny Krayzelburg,"February 5 , 2000","Berlin , Germany"
50.75,Neil Walker,"March 19 , 2000","Athens , Greece"
50.58,Thomas Rupprath,"December 8 , 2002","Melbourne , Australia"
50.32,Peter Marshall,"March 26 , 2004","New York City , United States"
49.99,Ryan Lochte,"April 9 , 2006","Shanghai , China"
49.94,Peter Marshall,"November 11 , 2008","Stockholm , Sweden"
49.63,Peter Marshall,"November 15 , 2008","Berlin , Germany"
49.32,Stanislav Donets,"December 14 , 2008","Rijeka , Croatia"
49.20,Aschwin Wildeboer,"December 21 , 2008","Madrid , Spain"
49.17,Arkady Vyatchanin,"December 12 , 2009","Istanbul , Turkey"
48.97,Arkady Vyatchanin Stanislav Donets,"December 13 , 2009","Istanbul , Turkey"
48.94 ( r ),Nick Thoman,"December 18 , 2009","Manchester , England"
48.92,Matt Grevers,"December 12 , 2015","Indianapolis , USA"
48.90,Kliment Kolesnikov,"December 22 , 2017","Saint Petersburg , RUS"
48.88,Xu Jiayu,"November 11 , 2018","Tokyo , JPN"
