City,Airport ( s ),Weekly Departures ( Summer 2018 ),Airlines
Frankfurt,Frankfurt Airport,35,"Croatia Airlines , Lufthansa"
Dubrovnik,Dubrovnik Airport,34,Croatia Airlines
Vienna,Schwechat Airport,33,"Austrian Airlines , Croatia Airlines"
Split,Split Airport,33,Croatia Airlines
Munich,Franz Josef Strauss Airport,28,"Croatia Airlines , Lufthansa"
Zürich,Zürich Airport,17,"Croatia Airlines , Swiss Air Lines"
Brussels,Brussels Airport,16,"Brussels Airlines , Croatia Airlines"
London,Heathrow Airport,15,"British Airways , Croatia Airlines"
Paris,Charles de Gaulle Airport,14,"Air France , Croatia Airlines"
Amsterdam,Schiphol Airport,14,"Croatia Airlines , KLM"
Doha,Hamad International Airport,14,Qatar Airways
Istanbul,Atatürk Airport,14,Turkish Airlines
Madrid,Adolfo Suárez Madrid-Barajas Airport,14,Iberia
Warsaw,Warsaw Chopin Airport,14,LOT Polish Airlines
Sarajevo,Sarajevo Airport,13,Croatia Airlines
Zadar,Zadar Airport,13,Croatia Airlines
Pula,Pula Airport,13,Croatia Airlines ( via Zadar )
Skopje,Skopje International Airport,12,Croatia Airlines
Belgrade,Belgrade Nikola Tesla Airport,11,Air Serbia
Prague,Václav Havel Airport,11,"Croatia Airlines , Czech Airlines"
