Athlete,Country,M/W,Wins,Years
Joshua Cheptegei,Uganda,M,4,"2015 , 2016 , 2017 , 2018"
Tonnie Dirks,Netherlands,M,3,"1989 , 1990 , 1991"
Tegla Loroupe,Kenya,W,3,"1992 , 1993 , 1998"
Mestawet Tufa,Ethiopia,W,3,"2003 , 2006 , 2008"
Sileshi Sihine,Ethiopia,M,3,"2004 , 2007 , 2009"
Haile Gebrselassie,Ethiopia,M,3,"1994 , 2005 , 2011"
Tirunesh Dibaba,Ethiopia,W,3,"2009 , 2012 , 2013"
Carla Beurskens,Netherlands,W,2,"1989 , 1990"
Josphat Machuka,Kenya,M,2,"1995 , 1996"
Worku Bikila,Ethiopia,M,2,"1997 , 1998"
Felix Limo,Kenya,M,2,"2000 , 2001"
Berhane Adere,Ethiopia,W,2,"2000 , 2005"
Leonard Komon,Kenya,M,2,"2010 , 2013"
